epoch,training acc.,training loss,val. acc.,val. loss
1,0.2903,1.5048,0.36,1.4315
2,0.3413,1.3452,0.3529,1.3664
3,0.3898,1.2724,0.4157,1.3057
4,0.4703,1.1793,0.4571,1.2516
5,0.5402,1.0535,0.5014,1.2459
6,0.6192,0.9136,0.5643,1.0916
7,0.6827,0.7829,0.6186,0.9972
8,0.7363,0.6774,0.6471,1.0392
9,0.769,0.6073,0.6071,1.1341
10,0.8014,0.5261,0.6557,1.0606
11,0.836,0.4499,0.69,0.9875
12,0.8519,0.4014,0.6786,0.9691
13,0.8679,0.3695,0.7243,1.0088
14,0.8895,0.3141,0.7414,1.0143
15,0.8948,0.2929,0.6386,1.7318
16,0.9133,0.2593,0.6214,2.066
17,0.9135,0.2367,0.8029,0.9491
18,0.9265,0.2094,0.8114,0.847
19,0.9338,0.1973,0.7714,1.056
20,0.934,0.1984,0.7757,1.0636
21,0.9386,0.1856,0.7729,0.8666
22,0.9451,0.1647,0.8329,0.8226
23,0.9521,0.1555,0.7614,1.1825
24,0.953,0.1577,0.8343,0.855
25,0.9546,0.1414,0.83,0.897
26,0.9646,0.123,0.8543,0.82
27,0.9622,0.1297,0.8214,1.0021
28,0.9668,0.1031,0.8186,1.1331
29,0.9673,0.1108,0.8043,1.0406
30,0.9741,0.0882,0.8243,1.1784
