epoch ,training acc.,training loss,val. acc.,val. loss
1,0.1834,2.3596,0.2557,2.0223
2,0.4117,1.6696,0.4264,1.5629
3,0.5673,1.2252,0.6007,1.1254
4,0.6575,0.9858,0.6307,1.0258
5,0.7082,0.8298,0.6721,0.9042
6,0.756,0.6982,0.7043,0.8544
7,0.7894,0.6018,0.7143,0.8599
8,0.8136,0.5255,0.7114,0.8312
9,0.8363,0.4611,0.7607,0.74
10,0.8596,0.4045,0.7629,0.7441
11,0.871,0.3641,0.7693,0.7306
12,0.8879,0.3178,0.7771,0.7713
13,0.8965,0.2912,0.78,0.8413
14,0.9062,0.2647,0.7693,0.8511
15,0.9201,0.2292,0.765,0.887
16,0.924,0.2156,0.7679,0.9706
17,0.9304,0.2077,0.7871,0.8673
18,0.9348,0.1932,0.7821,0.8972
19,0.9429,0.1651,0.7929,0.8935
20,0.9472,0.1569,0.8093,0.8497
21,0.9478,0.1515,0.7964,0.9242
22,0.9498,0.1456,0.7893,0.9838
23,0.9601,0.1192,0.7893,0.9755
24,0.9577,0.1262,0.8043,1.1038
25,0.9618,0.1132,0.7964,1.0435
26,0.964,0.1085,0.7921,1.0602
27,0.9657,0.1096,0.8279,0.9385
28,0.9603,0.1275,0.83,0.9525
29,0.9763,0.0781,0.815,0.9914
30,0.9679,0.0957,0.7929,1.0601
31,0.9679,0.1027,0.8193,0.9362
32,0.9744,0.0797,0.8121,1.087
33,0.9744,0.0822,0.7964,1.1678
34,0.9744,0.0811,0.8371,1.0393
35,0.983,0.0581,0.8314,0.9773
36,0.9687,0.1044,0.8129,1.1715
37,0.9781,0.068,0.8221,1.2812
38,0.9794,0.0623,0.8214,1.2432
39,0.9795,0.0671,0.8057,1.4074
40,0.9782,0.0775,0.8379,0.9529
